id,lat,lon,rr,source
1945,38.038346,-85.909128,PAL,derived
1952,37.048668,-88.364518,PAL,derived
1954,37.051828,-88.610125,PAL,derived
1959,30.315455,-91.333882,UP,derived
1960,39.76,-105.22,BNSF,derived
1964,38.362027,-81.696064,"CSX, AMTRAK",derived
1965,34.898775,-82.184538,NS,derived
1966,40.973712,-82.100242,ASRY,derived
1969,39.43449,-75.314695,NS,derived
1970,32.32,-90.19,CN KCS,derived
1972,32.34,-90.89,KCS VSOR,derived
1983,35.05,-90.15,CN CSX,derived
1989,46.8753,-113.9917,MRL / BNSF,derived
1998,41.777975,-87.621286,"NS, CRL",derived
2000,41.618,-87.322,GRW,derived
2001,29.47,-95.63,"BNSF, UP",derived
2002,45.212677,-123.199167,PNWR,derived
2004,39.452055,-75.21241,WW,derived
2005,39.782454,-75.388675,CSAO,derived
2006,39.417107,-75.034777,"CSAO, WW",derived
2015,30.72,-88.05,CSX,derived
2020,25.865757,-80.346494,FEC,derived
2021,35.54,-89.46,BNSF,derived
2022,35.94,-89.72,BNSF,derived
2023,37.72,-120.93,BNSF UP SERA AMTRAK (Child Oakdale should be SERA UP),derived
2026,39.12,-88.55,CN CSX EFRR,derived
2031,32.48,-96.99,"BNSF, UP",derived
2032,32.45,-97.05,"BNSF, UP",derived
2034,30.204255,-81.415596,"CSX, NS, FEC, AMTK",derived
2036,40.094306,-79.589623,SWP,derived
2038,41.2944,-87.38676,"UP,CN,CSX,NS",derived
2041,39.6,-90.18,ALS TRRA KCS,derived
2045,38.603,-90.192,UP,derived
2047,41.185678,-83.73774,CSX,derived
2050,27.5,-99.403,KCS,derived
2057,42.9,-73.7,NS PAS CP (IM facility is NS),derived
2081,30.830212,-83.247187,"NS, CSX",derived
2083,30.821942,-83.282989,"VR, NS, CSX",derived
2086,30.693469,-83.304959,VR,derived
2088,37.662,-82.267,NS,derived
2096,38.138,-81.277,KNWA/CSX,derived
2107,45.1648,-72.5814,MMA,derived
2108,32.398,-86.308,CSX,derived
2117,56.0,-107.1,CN,derived
2119,48.49,-122.57,BNSF,derived
2121,40.51,-107.55,UP,derived
2123,44.295,-96.745,RCPE,derived
2124,43.142204,-93.210731,"UP, CP, IATR, IANR",derived
2128,41.5,-90.63,CP,derived
2129,41.52,-90.44,"IAIS, BNSF, CP",derived
2130,41.66,-87.44,"MTSX, IHB, CN, CSX",derived
2133,45.432,-122.77,"PNWR, TMTX",derived
2137,45.61656,-122.76458,"UP, BNSF",derived
2142,49.91,-97.16,CP,derived
2143,45.56,-94.18,BNSF/NLR/AMTK,derived
2144,42.96,-82.38,CN,derived
2145,32.7,-117.15,"BNSF, SDIY",derived
2147,31.63,-96.287,BNSF,derived
2152,39.217,-93.062,KCS,derived
2153,41.652173,-91.527609,"IAIS, CIC",derived
2154,37.6294,-120.9302,MET BNSF UP,derived
2155,32.429,-104.225,BNSF,derived
2157,32.847,-104.397,BNSF,derived
2158,39.904113,-82.974586,CSX,derived
2159,41.71,-86.48,NS/CP,derived
2161,41.479001,-82.084343,NS,derived
2175,39.641301,-77.743135,CSX,derived
2177,40.541168,-74.261615,"CSAO, NJT",derived
2183,41.28,-88.64,UP,derived
2184,36.12,-96.01,BNSF UP NOKL TSU,derived
2188,38.145332,-85.742993,CSX,derived
2200,35.372,-97.483,BNSF,derived
2201,29.95,-89.99,NS,derived
2203,41.22,-95.92,BNSF UP,derived
2204,41.274538,-95.92616,"UP,CN",derived
2206,34.713639,-92.198406,"LRPA, UP",derived
2208,46.114,-122.912,LVSW BNSF UP CLC,derived
2215,42.687384,-84.649487,"CN,AMTK",derived
2216,42.758935,-84.559152,"CSX,JAIL",derived
2222,46.076298,-64.859647,"CN, VIA",derived
2223,45.153683,-66.061944,NBSR,derived
2226,46.072198,-96.900374,CP RRVW DMVW,derived
2229,47.977241,-102.479089,CP,derived
2230,47.922123,-104.032123,YSVR,derived
2231,48.394035,-102.940874,BNSF,derived
2234,30.004,-90.862,UP,derived
2239,29.303623,-98.320003,"UP, BNSF",derived
2241,29.375555,-98.558718,"UP, BNSF, SACRR",derived
2245,47.5618,-67.104,,derived
2251,37.1119,-77.2652,NS,derived
2254,37.04132,-77.10553,NS,derived
2257,37.223156,-77.24411,CSX,derived
2261,41.12474,-98.521085,BNSF,derived
2271,44.0121,-70.16,PAR,derived
2273,43.3853,-72.1903,NECR,derived
2276,36.5238,-76.2129,CWRY,derived
2278,27.834183,-82.047323,CSX,derived
2279,27.8906,-81.920712,CSX,derived
2280,27.909246,-81.991422,CSX,derived
2281,37.750686,-100.002032,BNSF,derived
2342,36.548,-82.555,CSX,derived
2348,33.29,-87.05,NS,derived
2381,44.249642,-91.507369,CN,derived
2398,32.432,-93.909,UP,derived
2454,38.792,-94.958,BNSF,derived
2499,37.123,-81.874,NS,derived
2500,37.27,-81.222,NS,derived
2505,38.085,-81.838,CSX,derived
2514,33.738,-118.196,BNSF,derived
2515,33.751,-118.196,BNSF,derived
2516,33.758,-118.207,BNSF,derived
2517,33.774,-118.235,BNSF,derived
2580,36.7,-97.09,BNSF UP,derived
2713,50.677957,-120.324417,"CP, CN, KPR",derived
2801,43.449,-88.643,WSOR,derived
2809,37.362,-94.589,KCS,derived
2816,42.64,-89.0,UP,derived
2824,37.738,-97.335,"BNSF, KO",derived
2829,37.665,-97.361,"KO, UP",derived
2831,37.025,-95.624,UP,derived
2839,42.059,-94.239,UP,derived
2854,49.30328,-122.88259,,derived
2861,37.228,-93.323,BNSF,derived
2864,37.211,-93.303,BNSF,derived
2867,37.178,-94.294,MNA,derived
2871,37.84,-94.348,MNA,derived
2884,48.51,-111.86,BNSF,derived
2888,40.299736,-83.53221,CSX,derived
2895,42.5,-94.305,CN,derived
2929,41.63,-87.489,CSXT,derived
2949,41.352,-85.143,CSXT,derived
2954,41.278,-84.379,CSXT,derived
2968,50.47,-104.645,CN,derived
2969,50.473,-104.574,CP,derived
2986,42.391,-94.29,UP,derived
3001,41.7,-87.518,NS,derived
3048,44.402,-89.893,CN,derived
3056,45.63,-122.687,UP,derived
3059,45.645,-122.716,UP,derived
3077,41.417921,-82.74051,NS,derived
